Indicator;Sector;Service;Vehicle category;Scope;Geography;Fuel;Value;Time;Source;Primary source;Observation value;Unit;Metadata
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";39;1991;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";41;1992;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";43;1993;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";45;1994;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";47;1995;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";49;1996;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";51;1997;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";53;1998;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";55;1999;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"92,382";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";57;2000;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"95,517";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";59;2001;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"95,914";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";61;2002;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"101,393";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";63;2003;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"115,249";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";65;2004;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"124,223";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";67;2005;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"129,100";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";69;2006;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"135,998";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";71;2007;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"146,528";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";73;2008;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"165,599";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";75;2009;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"180,501";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";77;2010;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"199,519";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";79;2011;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"217,521";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";81;2012;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"239,918";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";83;2013;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"201,890";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";85;2014;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"222,287";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";87;2015;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"243,382";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";89;2016;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"255,877";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";1;2017;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"266,679";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";2;2018;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"288,924";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";3;2019;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"320,119";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"L2/L4/L5";"national";"Bangladesh";"all";4;2020;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-016- We report cumulative number of vehicle registrations i.e. three wheelers on road.  A motorised three-wheeler is a vehicle with three wheels powered by LPG, gasoline, diesel and/or electric. A three-wheeled motor vehicle which includes two-wheelers fitted with extended chassis to increase capacity and includes auto rickshaws, tuks tuks, tricycle etc."
"Cumulative vehicle registration";"Road";"Passenger";"M1";"national";"Bangladesh";"all";5;1990;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-017- We report cumulative number of vehicle registrations i.e. LDVs on road. LDV refers to road motor vehicle, other than two and three wheelers intended for the carriage of passengers and designed to seat no more than nine persons (including the driver). Refers to category M1 of the UN Consolidated Resolution on the Construction of Vehicles (R.E.3). It includes all types of fuel."
"Cumulative vehicle registration";"Road";"Passenger";"M1";"national";"Bangladesh";"all";6;1991;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-017- We report cumulative number of vehicle registrations i.e. LDVs on road. LDV refers to road motor vehicle, other than two and three wheelers intended for the carriage of passengers and designed to seat no more than nine persons (including the driver). Refers to category M1 of the UN Consolidated Resolution on the Construction of Vehicles (R.E.3). It includes all types of fuel."
"Cumulative vehicle registration";"Road";"Passenger";"M1";"national";"Bangladesh";"all";7;1992;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-017- We report cumulative number of vehicle registrations i.e. LDVs on road. LDV refers to road motor vehicle, other than two and three wheelers intended for the carriage of passengers and designed to seat no more than nine persons (including the driver). Refers to category M1 of the UN Consolidated Resolution on the Construction of Vehicles (R.E.3). It includes all types of fuel."
"Cumulative vehicle registration";"Road";"Passenger";"M1";"national";"Bangladesh";"all";8;1993;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-017- We report cumulative number of vehicle registrations i.e. LDVs on road. LDV refers to road motor vehicle, other than two and three wheelers intended for the carriage of passengers and designed to seat no more than nine persons (including the driver). Refers to category M1 of the UN Consolidated Resolution on the Construction of Vehicles (R.E.3). It includes all types of fuel."
"Cumulative vehicle registration";"Road";"Passenger";"M1";"national";"Bangladesh";"all";9;1994;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-017- We report cumulative number of vehicle registrations i.e. LDVs on road. LDV refers to road motor vehicle, other than two and three wheelers intended for the carriage of passengers and designed to seat no more than nine persons (including the driver). Refers to category M1 of the UN Consolidated Resolution on the Construction of Vehicles (R.E.3). It includes all types of fuel."
"Cumulative vehicle registration";"Road";"Passenger";"M1";"national";"Bangladesh";"all";10;1995;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-017- We report cumulative number of vehicle registrations i.e. LDVs on road. LDV refers to road motor vehicle, other than two and three wheelers intended for the carriage of passengers and designed to seat no more than nine persons (including the driver). Refers to category M1 of the UN Consolidated Resolution on the Construction of Vehicles (R.E.3). It includes all types of fuel."
"Cumulative vehicle registration";"Road";"Passenger";"M1";"national";"Bangladesh";"all";11;1996;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-017- We report cumulative number of vehicle registrations i.e. LDVs on road. LDV refers to road motor vehicle, other than two and three wheelers intended for the carriage of passengers and designed to seat no more than nine persons (including the driver). Refers to category M1 of the UN Consolidated Resolution on the Construction of Vehicles (R.E.3). It includes all types of fuel."
"Cumulative vehicle registration";"Road";"Passenger";"M1";"national";"Bangladesh";"all";12;1997;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-017- We report cumulative number of vehicle registrations i.e. LDVs on road. LDV refers to road motor vehicle, other than two and three wheelers intended for the carriage of passengers and designed to seat no more than nine persons (including the driver). Refers to category M1 of the UN Consolidated Resolution on the Construction of Vehicles (R.E.3). It includes all types of fuel."
"Cumulative vehicle registration";"Road";"Passenger";"M1";"national";"Bangladesh";"all";13;1998;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"none";"number of vehicles";"Original ATO Code: TAS-VEP-017- We report cumulative number of vehicle registrations i.e. LDVs on road. LDV refers to road motor vehicle, other than two and three wheelers intended for the carriage of passengers and designed to seat no more than nine persons (including the driver). Refers to category M1 of the UN Consolidated Resolution on the Construction of Vehicles (R.E.3). It includes all types of fuel."
"Cumulative vehicle registration";"Road";"Passenger";"M1";"national";"Bangladesh";"all";14;1999;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"167,742";"number of vehicles";"Original ATO Code: TAS-VEP-017- We report cumulative number of vehicle registrations i.e. LDVs on road. LDV refers to road motor vehicle, other than two and three wheelers intended for the carriage of passengers and designed to seat no more than nine persons (including the driver). Refers to category M1 of the UN Consolidated Resolution on the Construction of Vehicles (R.E.3). It includes all types of fuel."
"Cumulative vehicle registration";"Road";"Passenger";"M1";"national";"Bangladesh";"all";15;2000;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"174,228";"number of vehicles";"Original ATO Code: TAS-VEP-017- We report cumulative number of vehicle registrations i.e. LDVs on road. LDV refers to road motor vehicle, other than two and three wheelers intended for the carriage of passengers and designed to seat no more than nine persons (including the driver). Refers to category M1 of the UN Consolidated Resolution on the Construction of Vehicles (R.E.3). It includes all types of fuel."
"Cumulative vehicle registration";"Road";"Passenger";"M1";"national";"Bangladesh";"all";16;2001;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"184,051";"number of vehicles";"Original ATO Code: TAS-VEP-017- We report cumulative number of vehicle registrations i.e. LDVs on road. LDV refers to road motor vehicle, other than two and three wheelers intended for the carriage of passengers and designed to seat no more than nine persons (including the driver). Refers to category M1 of the UN Consolidated Resolution on the Construction of Vehicles (R.E.3). It includes all types of fuel."
"Cumulative vehicle registration";"Road";"Passenger";"M1";"national";"Bangladesh";"all";17;2002;"ATO";"http://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b2db8758_8497_412c_a9ec_6bb299f8b3ab/2020-09-17-15-30-d0e641b2e659019f2aa44cbaf628caa8.pdf";"196,079";"number of vehicles";"Original ATO Code: TAS-VEP-017- We report cumulative number of vehicle registrations i.e. LDVs on road. LDV refers to road motor vehicle, other than two and three wheelers intended for the carriage of passengers and designed to seat no more than nine persons (including the driver). Refers to category M1 of the UN Consolidated Resolution on the Construction of Vehicles (R.E.3). It includes all types of fuel."
