Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Table Filter,Ref_group,National Reference,Lower Bound,Upper Bound
Percentage who had their blood pressure measured,Never measured,Age,30-49,2015,Estimated,32.1,92543948,viz_age,,Total,4.917,29.4,34.7
Percentage who had their blood pressure measured,Never measured,Age,50-69,2015,Estimated,20.7,69358525,viz_age,,Total,4.917,18.1,23.4
Percentage who had their blood pressure measured,Never measured,Age, 18-69,2015,Estimated,29.5,86512772,viz_age,,Total,4.917,27.4,31.6
Percentage who had their blood pressure measured,Never measured,Age by Area,Rural 18-29,2015,Estimated,,75587445,viz_age_area,,Rural,19.39,,
Percentage who had their blood pressure measured,Never measured,Age by Area,Rural 30-49,2015,Estimated,,118028139,viz_age_area,,Rural,19.39,,
Percentage who had their blood pressure measured,Never measured,Age by Area,Rural 50-69,2015,Estimated,,6076904,viz_age_area,,Rural,19.39,,
Percentage who had their blood pressure measured,Never measured,Age by Area,Rural  18-69,2015,Estimated,,18699118,viz_age_area,,Rural,19.39,,
Percentage who had their blood pressure measured,Never measured,Age by Area,Urban 18-29,2015,Estimated,,23964038,viz_age_area,,Urban,51.47,,
Percentage who had their blood pressure measured,Never measured,Age by Area,Urban 30-49,2015,Estimated,,28858189,viz_age_area,,Urban,51.47,,
Percentage who had their blood pressure measured,Never measured,Age by Area,Urban 50-69,2015,Estimated,,32615315,viz_age_area,,Urban,51.47,,
Percentage who had their blood pressure measured,Never measured,Age by Area,Urban  18-69,2015,Estimated,,16672247,viz_age_area,,Urban,51.47,,
Percentage who had their blood pressure measured,Never measured,Area,Rural,2015,Estimated,26.5,23964038,viz_area,,Total,4.917,24.6,28.4
Percentage who had their blood pressure measured,Never measured,Area,Urban,2015,Estimated,32.4,63611605,viz_area,,Total,4.917,30.1,34.7
Percentage who had their blood pressure measured,Never measured,Sex,Men,2015,Estimated,33.8,16672247,viz_sex,table_total,Total,4.917,30.7,37
Percentage who had their blood pressure measured,Never measured,Sex,Women,2015,Estimated,25.3,18699118,viz_sex,table_total,Total,4.917,22.7,27.8
Percentage who had their blood pressure measured,Never measured,Sex by Age,Men 18-29,2015,Estimated,37.6,6076904,viz_men_age,,Men,13.49,30.8,44.4
Percentage who had their blood pressure measured,Never measured,Sex by Age,Men 30-49,2015,Estimated,37.1,16672247,viz_men_age,,Men,13.49,33.4,40.8
Percentage who had their blood pressure measured,Never measured,Sex by Age,Men 50-69,2015,Estimated,22.1,18699118,viz_men_age,,Men,13.49,18,26.2
Percentage who had their blood pressure measured,Never measured,Sex by Age,Men  18-69,2015,Estimated,33.8,107337632,viz_men_age,,Men,13.49,30.7,37
Percentage who had their blood pressure measured,Never measured,Sex by Age,Women 18-29,2015,Estimated,27.4,75587445,viz_women_age,,Women,15.13,22.2,32.6
Percentage who had their blood pressure measured,Never measured,Sex by Age,Women 30-49,2015,Estimated,27.1,28858189,viz_women_age,,Women,15.13,23.5,30.6
Percentage who had their blood pressure measured,Never measured,Sex by Age,Women 50-69,2015,Estimated,19.5,118028139,viz_women_age,,Women,15.13,15.8,23.3
Percentage who had their blood pressure measured,Never measured,Sex by Age,Women  18-69,2015,Estimated,25.3,32615315,viz_women_age,,Women,15.13,22.7,27.8
Percentage who had their blood pressure measured,Never measured,Sex by Area,Rural Men,2015,Estimated,,69358525,viz_sex_area,,Men,13.49,,
Percentage who had their blood pressure measured,Never measured,Sex by Area,Rural Women,2015,Estimated,,63611605,viz_sex_area,,Women,15.13,,
Percentage who had their blood pressure measured,Never measured,Sex by Area,Urban Men,2015,Estimated,,92543948,viz_sex_area,,Men,13.49,,
Percentage who had their blood pressure measured,Never measured,Sex by Area,Urban Women,2015,Estimated,,86512772,viz_sex_area,,Women,15.13,,
Percentage who had their blood pressure measured,Never measured,Total,Total,2015,Estimated,29.5,6076904,viz_total,table_total,,,27.4,31.6
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Age,18-29,2015,Estimated,64,23964038,viz_age,,Total,56.12,59.4,68.6
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Age,30-49,2015,Estimated,59.4,75587445,viz_age,,Total,56.12,56.6,62.1
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Age,50-69,2015,Estimated,51.3,28858189,viz_age,,Total,56.12,47.9,54.6
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Age, 18-69,2015,Estimated,58.9,118028139,viz_age,,Total,56.12,56.8,61
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Age by Area,Rural 18-29,2015,Estimated,,16672247,viz_age_area,,Rural,4.917,,
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Age by Area,Rural 30-49,2015,Estimated,,107337632,viz_age_area,,Rural,4.917,,
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Age by Area,Rural 50-69,2015,Estimated,,69358525,viz_age_area,,Rural,4.917,,
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Age by Area,Rural  18-69,2015,Estimated,,63611605,viz_age_area,,Rural,4.917,,
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Age by Area,Urban 18-29,2015,Estimated,,6076904,viz_age_area,,Urban,26.39,,
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Age by Area,Urban 30-49,2015,Estimated,,18699118,viz_age_area,,Urban,26.39,,
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Age by Area,Urban 50-69,2015,Estimated,,92543948,viz_age_area,,Urban,26.39,,
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Age by Area,Urban  18-69,2015,Estimated,,86512772,viz_age_area,,Urban,26.39,,
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Area,Rural,2015,Estimated,50.1,6076904,viz_area,,Total,56.12,48.3,51.8
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Area,Urban,2015,Estimated,67.7,32615315,viz_area,,Total,56.12,65.3,71.2
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex,Men,2015,Estimated,54.9,86512772,viz_sex,table_total,Total,56.12,51.8,57.9
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex,Women,2015,Estimated,62.8,63611605,viz_sex,table_total,Total,56.12,60.1,65.6
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Age,Men 18-29,2015,Estimated,58.9,69358525,viz_men_age,,Men,70,52.3,65.4
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Age,Men 30-49,2015,Estimated,54.1,86512772,viz_men_age,,Men,70,50.3,58
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Age,Men 50-69,2015,Estimated,50.6,63611605,viz_men_age,,Men,70,45.8,55.5
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Age,Men  18-69,2015,Estimated,54.9,23964038,viz_men_age,,Men,70,51.8,57.9
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Age,Women 18-29,2015,Estimated,69.3,16672247,viz_women_age,,Women,51.47,63.8,74.7
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Age,Women 30-49,2015,Estimated,64.6,18699118,viz_women_age,,Women,51.47,60.8,68.4
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Age,Women 50-69,2015,Estimated,51.8,107337632,viz_women_age,,Women,51.47,47.3,56.3
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Age,Women  18-69,2015,Estimated,62.8,92543948,viz_women_age,,Women,51.47,60.1,65.6
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Area,Rural Men,2015,Estimated,,28858189,viz_sex_area,,Men,70,,
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Area,Rural Women,2015,Estimated,,32615315,viz_sex_area,,Women,51.47,,
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Area,Urban Men,2015,Estimated,,75587445,viz_sex_area,,Men,70,,
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Sex by Area,Urban Women,2015,Estimated,,118028139,viz_sex_area,,Women,51.47,,
Percentage who had their blood pressure measured but not diagnosed,Measured not diagnosed,Total,Total,2015,Estimated,58.9,69358525,viz_total,table_total,,,56.8,61
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Age,18-29,2015,Estimated,8.9,63611605,viz_age,,Total,74.88,0,21.1
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Age,30-49,2015,Estimated,3.8,23964038,viz_age,,Total,74.88,0.9,6.7
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Age,50-69,2015,Estimated,14.4,75587445,viz_age,,Total,74.88,10.4,18.3
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Age, 18-69,2015,Estimated,9.7,28858189,viz_age,,Total,74.88,7,12.4
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Age by Area,Rural 18-29,2015,Estimated,,6076904,viz_age_area,,Rural,26.39,,
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Age by Area,Rural 30-49,2015,Estimated,,18699118,viz_age_area,,Rural,26.39,,
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Age by Area,Rural 50-69,2015,Estimated,,92543948,viz_age_area,,Rural,26.39,,
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Age by Area,Rural  18-69,2015,Estimated,,86512772,viz_age_area,,Rural,26.39,,
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Age by Area,Urban 18-29,2015,Estimated,,32615315,viz_age_area,,Urban,95.5,,
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Age by Area,Urban 30-49,2015,Estimated,,16672247,viz_age_area,,Urban,95.5,,
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Age by Area,Urban 50-69,2015,Estimated,,107337632,viz_age_area,,Urban,95.5,,
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Age by Area,Urban  18-69,2015,Estimated,,69358525,viz_age_area,,Urban,95.5,,
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Area,Rural,2015,Estimated,7.8,32615315,viz_area,,Total,74.88,4.4,11.2
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Area,Urban,2015,Estimated,13.5,118028139,viz_area,,Total,74.88,8.9,18
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Sex,Men,2015,Estimated,7.5,69358525,viz_sex,table_total,Total,74.88,4.7,10.4
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Sex,Women,2015,Estimated,13,86512772,viz_sex,table_total,Total,74.88,8.3,17.6
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Sex by Age,Men 18-29,2015,Estimated,4.7,92543948,viz_men_age,,Men,56.12,0,13.9
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Sex by Age,Men 30-49,2015,Estimated,1.2,69358525,viz_men_age,,Men,56.12,0,2.7
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Sex by Age,Men 50-69,2015,Estimated,14.1,86512772,viz_men_age,,Men,56.12,9,19.3
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Sex by Age,Men  18-69,2015,Estimated,7.5,63611605,viz_men_age,,Men,56.12,4.7,10.4
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Sex by Age,Women 18-29,2015,Estimated,28.8,6076904,viz_women_age,,Women,70,0,75.6
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Sex by Age,Women 30-49,2015,Estimated,8.3,16672247,viz_women_age,,Women,70,1.2,15.4
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Sex by Age,Women 50-69,2015,Estimated,14.7,18699118,viz_women_age,,Women,70,9.1,20.3
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Sex by Age,Women  18-69,2015,Estimated,13,107337632,viz_women_age,,Women,70,8.3,17.6
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Sex by Area,Rural Men,2015,Estimated,,75587445,viz_sex_area,,Men,56.12,,
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Sex by Area,Rural Women,2015,Estimated,,118028139,viz_sex_area,,Women,70,,
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Sex by Area,Urban Men,2015,Estimated,,23964038,viz_sex_area,,Men,56.12,,
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Sex by Area,Urban Women,2015,Estimated,,28858189,viz_sex_area,,Women,70,,
Percentage with controlled BP (SBP<=140 and/or DBP<=90 mmHg) and currently on medication,Raised BP on medication,Total,Total,2015,Estimated,9.7,92543948,viz_total,table_total,,,7,12.4
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Age,18-29,2015,Estimated,4.7,118028139,viz_age,,Total,19.39,2.5,6.9
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Age,30-49,2015,Estimated,15.1,32615315,viz_age,,Total,19.39,12.8,17.5
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Age,50-69,2015,Estimated,30.7,6076904,viz_age,,Total,19.39,27.2,34.2
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Age, 18-69,2015,Estimated,15,16672247,viz_age,,Total,19.39,13.5,16.5
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Age by Area,Rural 18-29,2015,Estimated,,92543948,viz_age_area,,Rural,86.85,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Age by Area,Rural 30-49,2015,Estimated,,86512772,viz_age_area,,Rural,86.85,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Age by Area,Rural 50-69,2015,Estimated,,23964038,viz_age_area,,Rural,86.85,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Age by Area,Rural  18-69,2015,Estimated,,28858189,viz_age_area,,Rural,86.85,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Age by Area,Urban 18-29,2015,Estimated,,107337632,viz_age_area,,Urban,15.13,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Age by Area,Urban 30-49,2015,Estimated,,69358525,viz_age_area,,Urban,15.13,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Age by Area,Urban 50-69,2015,Estimated,,63611605,viz_age_area,,Urban,15.13,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Age by Area,Urban  18-69,2015,Estimated,,75587445,viz_age_area,,Urban,15.13,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Area,Rural,2015,Estimated,15.7,107337632,viz_area,,Total,19.39,13.7,17.7
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Area,Urban,2015,Estimated,13.7,18699118,viz_area,,Total,19.39,11.6,15.9
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Sex,Men,2015,Estimated,19.4,75587445,viz_sex,table_total,Total,19.39,16.7,22.1
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Sex,Women,2015,Estimated,10.7,28858189,viz_sex,table_total,Total,19.39,9,12.4
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Sex by Age,Men 18-29,2015,Estimated,8,23964038,viz_men_age,,Men,61.16,3.9,12.1
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Sex by Age,Men 30-49,2015,Estimated,20.7,75587445,viz_men_age,,Men,61.16,16.8,24.7
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Sex by Age,Men 50-69,2015,Estimated,35.9,28858189,viz_men_age,,Men,61.16,30.2,41.5
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Sex by Age,Men  18-69,2015,Estimated,19.4,118028139,viz_men_age,,Men,61.16,16.7,22.1
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Sex by Age,Women 18-29,2015,Estimated,1.4,92543948,viz_women_age,,Women,23.35,0,2.9
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Sex by Age,Women 30-49,2015,Estimated,9.5,69358525,viz_women_age,,Women,23.35,7.1,11.8
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Sex by Age,Women 50-69,2015,Estimated,26.3,86512772,viz_women_age,,Women,23.35,21.5,31.2
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Sex by Age,Women  18-69,2015,Estimated,10.7,63611605,viz_women_age,,Women,23.35,9,12.4
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Sex by Area,Rural Men,2015,Estimated,,6076904,viz_sex_area,,Men,61.16,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Sex by Area,Rural Women,2015,Estimated,,18699118,viz_sex_area,,Women,23.35,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Sex by Area,Urban Men,2015,Estimated,,32615315,viz_sex_area,,Men,61.16,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Sex by Area,Urban Women,2015,Estimated,,16672247,viz_sex_area,,Women,23.35,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) excluding currently on medication for raised BP,"Raised BP, no medication",Total,Total,2015,Estimated,15,23964038,viz_total,table_total,,,13.5,16.5
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Age,18-29,2015,Estimated,5.4,18699118,viz_age,,Total,26.39,3.1,7.7
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Age,30-49,2015,Estimated,17.3,107337632,viz_age,,Total,26.39,14.9,19.7
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Age,50-69,2015,Estimated,40.2,92543948,viz_age,,Total,26.39,36.5,43.8
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Age, 18-69,2015,Estimated,18.9,69358525,viz_age,,Total,26.39,17.3,20.5
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Age by Area,Rural 18-29,2015,Estimated,,23964038,viz_age_area,,Rural,51.47,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Age by Area,Rural 30-49,2015,Estimated,,28858189,viz_age_area,,Rural,51.47,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Age by Area,Rural 50-69,2015,Estimated,,32615315,viz_age_area,,Rural,51.47,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Age by Area,Rural  18-69,2015,Estimated,,16672247,viz_age_area,,Rural,51.47,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Age by Area,Urban 18-29,2015,Estimated,,63611605,viz_age_area,,Urban,70,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Age by Area,Urban 30-49,2015,Estimated,,75587445,viz_age_area,,Urban,70,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Age by Area,Urban 50-69,2015,Estimated,,118028139,viz_age_area,,Urban,70,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Age by Area,Urban  18-69,2015,Estimated,,6076904,viz_age_area,,Urban,70,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Area,Rural,2015,Estimated,19.2,63611605,viz_area,,Total,26.39,17,21.3
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Area,Urban,2015,Estimated,18.4,86512772,viz_area,,Total,26.39,16.1,20.7
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Sex,Men,2015,Estimated,23.1,6076904,viz_sex,table_total,Total,26.39,20.3,25.9
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Sex,Women,2015,Estimated,14.9,16672247,viz_sex,table_total,Total,26.39,13,16.7
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Sex by Age,Men 18-29,2015,Estimated,8.7,32615315,viz_men_age,,Men,4.917,4.6,12.9
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Sex by Age,Men 30-49,2015,Estimated,22.3,6076904,viz_men_age,,Men,4.917,18.4,26.2
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Sex by Age,Men 50-69,2015,Estimated,45.5,16672247,viz_men_age,,Men,4.917,39.9,51
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Sex by Age,Men  18-69,2015,Estimated,23.1,18699118,viz_men_age,,Men,4.917,20.3,25.9
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Sex by Age,Women 18-29,2015,Estimated,1.9,23964038,viz_women_age,,Women,13.49,0.1,3.7
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Sex by Age,Women 30-49,2015,Estimated,12.3,75587445,viz_women_age,,Women,13.49,9.6,14.9
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Sex by Age,Women 50-69,2015,Estimated,35.4,28858189,viz_women_age,,Women,13.49,30.5,40.4
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Sex by Age,Women  18-69,2015,Estimated,14.9,118028139,viz_women_age,,Women,13.49,13,16.7
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Sex by Area,Rural Men,2015,Estimated,,92543948,viz_sex_area,,Men,4.917,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Sex by Area,Rural Women,2015,Estimated,,86512772,viz_sex_area,,Women,13.49,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Sex by Area,Urban Men,2015,Estimated,,107337632,viz_sex_area,,Men,4.917,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Sex by Area,Urban Women,2015,Estimated,,69358525,viz_sex_area,,Women,13.49,,
Percentage with raised BP (SBP >= 140 and/or DBP >= 90 mmHg) or currently on medication for raised BP,Hypertensive,Total,Total,2015,Estimated,18.9,32615315,viz_total,table_total,,,17.3,20.5
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Age,18-29,2015,Estimated,3.5,,viz_age,,Total,12.93,1.3,5.6
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Age,30-49,2015,Estimated,8.6,,viz_age,,Total,12.93,6.5,10.7
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Age,50-69,2015,Estimated,28,,viz_age,,Total,12.93,23.7,32.3
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Age, 18-69,2015,Estimated,11.6,,viz_age,,Total,12.93,9.9,13.3
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Age by Area,Rural 18-29,2015,Estimated,,,viz_age_area,,Rural,11.18,,
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Age by Area,Rural 30-49,2015,Estimated,,,viz_age_area,,Rural,11.18,,
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Age by Area,Rural 50-69,2015,Estimated,,,viz_age_area,,Rural,11.18,,
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Age by Area,Rural  18-69,2015,Estimated,,,viz_age_area,,Rural,11.18,,
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Age by Area,Urban 18-29,2015,Estimated,,,viz_age_area,,Urban,10.19,,
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Age by Area,Urban 30-49,2015,Estimated,,,viz_age_area,,Urban,10.19,,
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Age by Area,Urban 50-69,2015,Estimated,,,viz_age_area,,Urban,10.19,,
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Age by Area,Urban  18-69,2015,Estimated,,,viz_age_area,,Urban,10.19,,
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Area,Rural,2015,Estimated,7,,viz_area,,Total,12.93,5.8,8
